Id,Obra,Nombre Obra,Estrofa,Versos,Letra concatenada,¿En partitura?,¿Es estribillo?,Personaje,Accion,bis
1,1001,Arrullo del Niño Dios (a),1,"A la rorro, niño,","A la rorro, niño, a la rorrorró; duérmete, mi niño, duérmete, mi amor.  Tus ojitos bailan cual la luz del sol; duérmete, mi niño, duérmete, mi amor.  Caminen, pastores, vamos a Belén a ver a la Virgen y al Niño también ",1,,,,
2,,,1,a la rorrorró;,,,,,,
3,,,1,"duérmete, mi niño,",,,,,,
4,,,1,"duérmete, mi amor.",,,,,,
5,,,,,,,,,,
6,,,2,Tus ojitos bailan,,,,,,
7,,,2,cual la luz del sol;,,,,,,
8,,,2,"duérmete, mi niño,",,,,,,
9,,,2,"duérmete, mi amor.",,,,,,
10,,,,,,,,,,
11,,,3,"Caminen, pastores,",,,,,,
12,,,3,vamos a Belén,,,,,,
13,,,3,a ver a la Virgen,,,,,,
14,,,3,y al Niño también,,,,,,
15,,,,,,,,,,
16,1002,Arrullo del Niño Dios (b),1,"A la rorro, rorro,","A la rorro, rorro, y a la rorrorró; duérmase, niñito de mi corazón.  A la rorro, niño, y a la rorrorró; duérmete, bien mío, que ya amaneció. ",1,,,,
17,,,1,y a la rorrorró;,,,,,,
18,,,1,"duérmase, niñito",,,,,,
19,,,1,de mi corazón.,,,,,,
20,,,,,,,,,,
21,,,2,"A la rorro, niño,",,,,,,
22,,,2,y a la rorrorró;,,,,,,
23,,,2,"duérmete, bien mío,",,,,,,
24,,,2,que ya amaneció.,,,,,,
25,,,,,,,,,,
26,1003,Arrullo mexicano,1,"A la rorro, rorro,","A la rorro, rorro, y a la rorrorró; duérmase, mi niño, que lo arullo yo.  Gorrioncito hermoso, pico de coral, te traigo una jaula de puro cristal.  Gorrioncito hermoso, pico de rubí, te traigo una jaula de oro para ti.  Dios Omnipotente, sácame de aquí, llévame a mi pueblo donde yo nací. ",1,,,,
27,,,1,y a la rorrorró;,,,,,,
28,,,1,"duérmase, mi niño,",,,,,,
29,,,1,que lo arullo yo.,,,,,,
30,,,,,,,,,,
31,,,2,"Gorrioncito hermoso,",,,,,,
32,,,2,"pico de coral,",,,,,,
33,,,2,te traigo una jaula,,,,,,
34,,,2,de puro cristal.,,,,,,
35,,,,,,,,,,
36,,,3,"Gorrioncito hermoso,",,,,,,
37,,,3,"pico de rubí,",,,,,,
38,,,3,te traigo una jaula,,,,,,
39,,,3,de oro para ti.,,,,,,
40,,,,,,,,,,
41,,,4,"Dios Omnipotente,",,,,,,
42,,,4,"sácame de aquí,",,,,,,
43,,,4,llévame a mi pueblo,,,,,,
44,,,4,donde yo nací.,,,,,,
45,,,,,,,,,,
46,1004,"A la rurru, niño",1,"A la rurru, niño,","A la rurru, niño, a la rurru ya; duérmete, mi niño, y duérmete ya. ",1,,,,
47,,,1,a la rurru ya;,,,,,,
48,,,1,"duérmete, mi niño,",,,,,,
49,,,1,y duérmete ya.,,,,,,
50,,,,,,,,,,
51,1005,Arestín de plata,1,"Arestín de plata,",,1,,,,
52,,,1,"cuna de marfil,",,,,,,
53,,,1,arrullen al niño,,,,,,
54,,,1,que se va a dormir.,,,,,,
